2026-08-06 14:57:54,904 | INFO | hyde.loogle.runner | Prepared frozen musique_32k population documents=45 chunks=3100 labeled_queries=900
2026-08-06 14:57:54,957 | INFO | hyde.loogle.runner | HyDE generation progress queries=1/900 cache_hits=1
2026-08-06 14:57:54,957 | INFO | hyde.loogle.runner | HyDE generation progress queries=10/900 cache_hits=10
2026-08-06 14:57:54,957 | INFO | hyde.loogle.runner | HyDE generation progress queries=20/900 cache_hits=20
2026-08-06 14:57:54,957 | INFO | hyde.loogle.runner | HyDE generation progress queries=30/900 cache_hits=30
2026-08-06 14:57:54,957 | INFO | hyde.loogle.runner | HyDE generation progress queries=40/900 cache_hits=40
2026-08-06 14:57:54,957 | INFO | hyde.loogle.runner | HyDE generation progress queries=50/900 cache_hits=50
2026-08-06 14:57:54,957 | INFO | hyde.loogle.runner | HyDE generation progress queries=60/900 cache_hits=60
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=70/900 cache_hits=70
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=80/900 cache_hits=80
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=90/900 cache_hits=90
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=100/900 cache_hits=100
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=110/900 cache_hits=110
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=120/900 cache_hits=120
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=130/900 cache_hits=130
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=140/900 cache_hits=140
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=150/900 cache_hits=150
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=160/900 cache_hits=160
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=170/900 cache_hits=170
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=180/900 cache_hits=180
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=190/900 cache_hits=190
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=200/900 cache_hits=200
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=210/900 cache_hits=210
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=220/900 cache_hits=220
2026-08-06 14:57:54,958 | INFO | hyde.loogle.runner | HyDE generation progress queries=230/900 cache_hits=230
2026-08-06 14:57:54,959 | INFO | hyde.loogle.runner | HyDE generation progress queries=240/900 cache_hits=240
2026-08-06 14:57:54,959 | INFO | hyde.loogle.runner | HyDE generation progress queries=250/900 cache_hits=250
2026-08-06 14:57:54,959 | INFO | hyde.loogle.runner | HyDE generation progress queries=260/900 cache_hits=260
2026-08-06 14:57:54,959 | INFO | hyde.loogle.runner | HyDE generation progress queries=270/900 cache_hits=270
2026-08-06 14:57:54,959 | INFO | hyde.loogle.runner | HyDE generation progress queries=280/900 cache_hits=280
2026-08-06 14:57:54,959 | INFO | hyde.loogle.runner | HyDE generation progress queries=290/900 cache_hits=290
2026-08-06 14:57:54,959 | INFO | hyde.loogle.runner | HyDE generation progress queries=300/900 cache_hits=300
2026-08-06 14:57:54,959 | INFO | hyde.loogle.runner | HyDE generation progress queries=310/900 cache_hits=310
2026-08-06 14:57:54,959 | INFO | hyde.loogle.runner | HyDE generation progress queries=320/900 cache_hits=320
2026-08-06 14:57:54,959 | INFO | hyde.loogle.runner | HyDE generation progress queries=330/900 cache_hits=330
2026-08-06 14:57:54,959 | INFO | hyde.loogle.runner | HyDE generation progress queries=340/900 cache_hits=340
