2026-08-26 15:34:18,029 | INFO | hyde.loogle.runner | Prepared frozen musique_32k population documents=45 chunks=17102 labeled_queries=900
2026-08-26 15:34:18,070 | INFO | hyde.loogle.runner | HyDE generation progress queries=1/900 cache_hits=1
2026-08-26 15:34:18,070 | INFO | hyde.loogle.runner | HyDE generation progress queries=10/900 cache_hits=10
2026-08-26 15:34:18,070 | INFO | hyde.loogle.runner | HyDE generation progress queries=20/900 cache_hits=20
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=30/900 cache_hits=30
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=40/900 cache_hits=40
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=50/900 cache_hits=50
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=60/900 cache_hits=60
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=70/900 cache_hits=70
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=80/900 cache_hits=80
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=90/900 cache_hits=90
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=100/900 cache_hits=100
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=110/900 cache_hits=110
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=120/900 cache_hits=120
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=130/900 cache_hits=130
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=140/900 cache_hits=140
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=150/900 cache_hits=150
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=160/900 cache_hits=160
2026-08-26 15:34:18,071 | INFO | hyde.loogle.runner | HyDE generation progress queries=170/900 cache_hits=170
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=180/900 cache_hits=180
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=190/900 cache_hits=190
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=200/900 cache_hits=200
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=210/900 cache_hits=210
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=220/900 cache_hits=220
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=230/900 cache_hits=230
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=240/900 cache_hits=240
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=250/900 cache_hits=250
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=260/900 cache_hits=260
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=270/900 cache_hits=270
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=280/900 cache_hits=280
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=290/900 cache_hits=290
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=300/900 cache_hits=300
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=310/900 cache_hits=310
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=320/900 cache_hits=320
2026-08-26 15:34:18,072 | INFO | hyde.loogle.runner | HyDE generation progress queries=330/900 cache_hits=330
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=340/900 cache_hits=340
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=350/900 cache_hits=350
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=360/900 cache_hits=360
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=370/900 cache_hits=370
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=380/900 cache_hits=380
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=390/900 cache_hits=390
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=400/900 cache_hits=400
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=410/900 cache_hits=410
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=420/900 cache_hits=420
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=430/900 cache_hits=430
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=440/900 cache_hits=440
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=450/900 cache_hits=450
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=460/900 cache_hits=460
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=470/900 cache_hits=470
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=480/900 cache_hits=480
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=490/900 cache_hits=490
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=500/900 cache_hits=500
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=510/900 cache_hits=510
2026-08-26 15:34:18,073 | INFO | hyde.loogle.runner | HyDE generation progress queries=520/900 cache_hits=520
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=530/900 cache_hits=530
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=540/900 cache_hits=540
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=550/900 cache_hits=550
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=560/900 cache_hits=560
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=570/900 cache_hits=570
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=580/900 cache_hits=580
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=590/900 cache_hits=590
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=600/900 cache_hits=600
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=610/900 cache_hits=610
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=620/900 cache_hits=620
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=630/900 cache_hits=630
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=640/900 cache_hits=640
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=650/900 cache_hits=650
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=660/900 cache_hits=660
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=670/900 cache_hits=670
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=680/900 cache_hits=680
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=690/900 cache_hits=690
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=700/900 cache_hits=700
2026-08-26 15:34:18,074 | INFO | hyde.loogle.runner | HyDE generation progress queries=710/900 cache_hits=710
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=720/900 cache_hits=720
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=730/900 cache_hits=730
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=740/900 cache_hits=740
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=750/900 cache_hits=750
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=760/900 cache_hits=760
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=770/900 cache_hits=770
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=780/900 cache_hits=780
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=790/900 cache_hits=790
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=800/900 cache_hits=800
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=810/900 cache_hits=810
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=820/900 cache_hits=820
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=830/900 cache_hits=830
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=840/900 cache_hits=840
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=850/900 cache_hits=850
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=860/900 cache_hits=860
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=870/900 cache_hits=870
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=880/900 cache_hits=880
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=890/900 cache_hits=890
2026-08-26 15:34:18,075 | INFO | hyde.loogle.runner | HyDE generation progress queries=900/900 cache_hits=900
/home/iataghav/SAADI_hyde/.venv/lib/python3.12/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:  25%|██▌       | 1/4 [00:45<02:15, 45.07s/it]Fetching 4 files:  50%|█████     | 2/4 [03:11<03:11, 95.72s/it]Fetching 4 files:  75%|███████▌  | 3/4 [03:20<01:06, 66.73s/it]Fetching 4 files: 100%|██████████| 4/4 [03:27<00:00, 51.97s/it]Fetching 4 files: 100%|██████████| 4/4 [03:27<00:00, 51.97s/it]
2026-08-26 15:37:52,699 | INFO | accelerate.utils.modeling | We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:00<00:01,  2.25it/s]Loading checkpoint shards:  50%|█████     | 2/4 [00:00<00:01,  1.97it/s]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:01<00:00,  1.81it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:01<00:00,  2.43it/s]
2026-08-26 16:17:32,845 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=1/900
2026-08-26 16:17:45,864 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=10/900
2026-08-26 16:18:00,807 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=20/900
2026-08-26 16:18:11,788 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=30/900
2026-08-26 16:18:29,158 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=40/900
2026-08-26 16:18:42,566 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=50/900
2026-08-26 16:18:55,507 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=60/900
2026-08-26 16:19:09,103 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=70/900
2026-08-26 16:19:24,855 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=80/900
2026-08-26 16:19:40,771 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=90/900
2026-08-26 16:19:54,248 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=100/900
2026-08-26 16:20:04,879 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=110/900
2026-08-26 16:20:17,159 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=120/900
2026-08-26 16:20:29,564 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=130/900
2026-08-26 16:20:45,164 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=140/900
2026-08-26 16:20:59,460 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=150/900
2026-08-26 16:21:15,515 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=160/900
2026-08-26 16:21:26,557 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=170/900
2026-08-26 16:21:39,293 | INFO | hyde.loogle.runner | HyDE retrieval progress retriever=qwen queries=180/900
