2026-08-26 15:30:58,206 | INFO | hyde.loogle.runner | Prepared frozen musique_32k population documents=45 chunks=17102 labeled_queries=900
2026-08-26 15:30:58,247 | INFO | hyde.loogle.runner | HyDE generation progress queries=1/900 cache_hits=1
2026-08-26 15:30:58,248 | INFO | hyde.loogle.runner | HyDE generation progress queries=10/900 cache_hits=10
2026-08-26 15:30:58,248 | INFO | hyde.loogle.runner | HyDE generation progress queries=20/900 cache_hits=20
2026-08-26 15:30:58,248 | INFO | hyde.loogle.runner | HyDE generation progress queries=30/900 cache_hits=30
2026-08-26 15:30:58,248 | INFO | hyde.loogle.runner | HyDE generation progress queries=40/900 cache_hits=40
2026-08-26 15:30:58,248 | INFO | hyde.loogle.runner | HyDE generation progress queries=50/900 cache_hits=50
2026-08-26 15:30:58,248 | INFO | hyde.loogle.runner | HyDE generation progress queries=60/900 cache_hits=60
2026-08-26 15:30:58,248 | INFO | hyde.loogle.runner | HyDE generation progress queries=70/900 cache_hits=70
2026-08-26 15:30:58,248 | INFO | hyde.loogle.runner | HyDE generation progress queries=80/900 cache_hits=80
2026-08-26 15:30:58,248 | INFO | hyde.loogle.runner | HyDE generation progress queries=90/900 cache_hits=90
2026-08-26 15:30:58,248 | INFO | hyde.loogle.runner | HyDE generation progress queries=100/900 cache_hits=100
2026-08-26 15:30:58,248 | INFO | hyde.loogle.runner | HyDE generation progress queries=110/900 cache_hits=110
2026-08-26 15:30:58,248 | INFO | hyde.loogle.runner | HyDE generation progress queries=120/900 cache_hits=120
2026-08-26 15:30:58,249 | INFO | hyde.loogle.runner | HyDE generation progress queries=130/900 cache_hits=130
2026-08-26 15:30:58,249 | INFO | hyde.loogle.runner | HyDE generation progress queries=140/900 cache_hits=140
2026-08-26 15:30:58,249 | INFO | hyde.loogle.runner | HyDE generation progress queries=150/900 cache_hits=150
2026-08-26 15:30:58,249 | INFO | hyde.loogle.runner | HyDE generation progress queries=160/900 cache_hits=160
2026-08-26 15:30:58,249 | INFO | hyde.loogle.runner | HyDE generation progress queries=170/900 cache_hits=170
2026-08-26 15:30:58,249 | INFO | hyde.loogle.runner | HyDE generation progress queries=180/900 cache_hits=180
2026-08-26 15:30:58,249 | INFO | hyde.loogle.runner | HyDE generation progress queries=190/900 cache_hits=190
2026-08-26 15:30:58,249 | INFO | hyde.loogle.runner | HyDE generation progress queries=200/900 cache_hits=200
2026-08-26 15:30:58,249 | INFO | hyde.loogle.runner | HyDE generation progress queries=210/900 cache_hits=210
2026-08-26 15:30:58,249 | INFO | hyde.loogle.runner | HyDE generation progress queries=220/900 cache_hits=220
2026-08-26 15:30:58,249 | INFO | hyde.loogle.runner | HyDE generation progress queries=230/900 cache_hits=230
